category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Caterpillar Tracks,rc-car-tracks-budget-friendly,RC Car Tracks (Budget Friendly),1,Designed with these in mind.,https://s.click.aliexpress.com/e/_c4WEvTJv,https://geni.us/niJrcJn | https://geni.us/JVrfPU,,,https://s.click.aliexpress.com/e/_c4WEvTJv | https://geni.us/niJrcJn | https://geni.us/JVrfPU
Caterpillar Tracks,rc-car-tracks-more-robust-option,RC Car Tracks (More robust option) **,1,** Alternative - More robust but more expensive,https://s.click.aliexpress.com/e/_c4UznP2P,https://geni.us/j51XYY | https://geni.us/SuQo,,,https://s.click.aliexpress.com/e/_c4UznP2P | https://geni.us/j51XYY | https://geni.us/SuQo
Caterpillar Tracks,dc-motor,DC Motor,2,JGA25-370-1260 60RPM 12v,https://s.click.aliexpress.com/e/_c4a8O8cB,https://geni.us/GV5tKTw | https://geni.us/gy4FnQj,,,https://s.click.aliexpress.com/e/_c4a8O8cB | https://geni.us/GV5tKTw | https://geni.us/gy4FnQj
Caterpillar Tracks,servo-motor-hts-35h,Servo Motor HTS-35H,8,,https://s.click.aliexpress.com/e/_c4WF1G6j,https://geni.us/3n9LvTA | https://geni.us/ck0ITKI,,,https://s.click.aliexpress.com/e/_c4WF1G6j | https://geni.us/3n9LvTA | https://geni.us/ck0ITKI
Caterpillar Tracks,servo-motor-mg996r,Servo Motor MG996R **,8,** Alternative to HTS-35H - Cheaper (not tested),https://s.click.aliexpress.com/e/_c3zmtnf1,https://geni.us/bTXZ0 | https://geni.us/abDrK9,,,https://s.click.aliexpress.com/e/_c3zmtnf1 | https://geni.us/bTXZ0 | https://geni.us/abDrK9
Caterpillar Tracks,servo-motor-mg90s,Servo Motor MG90S,2,(For the Camera pan/tilt),https://s.click.aliexpress.com/e/_c3iOUITN,https://geni.us/AAHBTxq | https://geni.us/o3BkSLl,,,https://s.click.aliexpress.com/e/_c3iOUITN | https://geni.us/AAHBTxq | https://geni.us/o3BkSLl
Caterpillar Tracks,antenna,Antenna,2,"IPEX, 15cm",https://s.click.aliexpress.com/e/_c3IMWUaJ,https://geni.us/CFVUmC,,,https://s.click.aliexpress.com/e/_c3IMWUaJ | https://geni.us/CFVUmC
Caterpillar Tracks,long-u-bracket,Long U-bracket,4,,https://s.click.aliexpress.com/e/_c4nsSndl,https://geni.us/aKQfQgw | https://geni.us/ZF1QdxF,,,https://s.click.aliexpress.com/e/_c4nsSndl | https://geni.us/aKQfQgw | https://geni.us/ZF1QdxF
Caterpillar Tracks,multifunctional-bracket,Multifunctional Bracket,8,,https://s.click.aliexpress.com/e/_c4S7Ngmj,https://geni.us/CAwIn | https://geni.us/ZF1QdxF,,,https://s.click.aliexpress.com/e/_c4S7Ngmj | https://geni.us/CAwIn | https://geni.us/ZF1QdxF
Caterpillar Tracks,stent-bracket,Stent Bracket,8,,https://s.click.aliexpress.com/e/_c3tVlqjV,https://geni.us/CAwIn | https://geni.us/URwMcv,,,https://s.click.aliexpress.com/e/_c3tVlqjV | https://geni.us/CAwIn | https://geni.us/URwMcv
Caterpillar Tracks,25t-servo-disc,25T Servo disc,8,If your servo comes with discs ignore this.,https://s.click.aliexpress.com/e/_c3LTLzxZ,https://geni.us/CAwIn | https://geni.us/jp8tgwN,,,https://s.click.aliexpress.com/e/_c3LTLzxZ | https://geni.us/CAwIn | https://geni.us/jp8tgwN
PCB,titan-main-controller,Titan Main Controller,1,Make sure to order with Assembly,https://www.pcbway.com/project/shareproject/Titan_Quaddruped_PCBs_bfb8a382.html,,,,https://www.pcbway.com/project/shareproject/Titan_Quaddruped_PCBs_bfb8a382.html
PCB,titan-servo-controller,Titan Servo Controller,1,Make sure to order with Assembly,https://www.pcbway.com/project/shareproject/Titan_Servo_Controller_f9480679.html,,,,https://www.pcbway.com/project/shareproject/Titan_Servo_Controller_f9480679.html
Misc,resistor-set,Resistor set,1,,https://s.click.aliexpress.com/e/_c39wnmLt,https://geni.us/CAwIn | https://geni.us/ZobBVp,,,https://s.click.aliexpress.com/e/_c39wnmLt | https://geni.us/CAwIn | https://geni.us/ZobBVp
Misc,22awg-power-cable,22AWG Power Cable,-,"Minimum 12AWG, for wires expected to carry current above 2A and/or voltage above 5V",https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB | https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB | https://geni.us/XebB
Misc,12awg-signal-cable,12AWG - Signal Cable,-,"22-30AWG, recommend solid core, used for all other wires",https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/BbErE | https://geni.us/BbErE,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/BbErE | https://geni.us/BbErE
Misc,velcro,Velcro,-,For cable management,https://s.click.aliexpress.com/e/_c3hpLjQX,https://geni.us/CAwIn | https://geni.us/BTaGMhb,,,https://s.click.aliexpress.com/e/_c3hpLjQX | https://geni.us/CAwIn | https://geni.us/BTaGMhb
Misc,cable-sleeve,Cable Sleeve,1m,8mm (For cable management),https://s.click.aliexpress.com/e/_c3MsIvpN,https://geni.us/ldBt,,,https://s.click.aliexpress.com/e/_c3MsIvpN | https://geni.us/ldBt
Misc,7x7x3mm-heat-sink,7x7x3mm Heat Sink,20,,https://s.click.aliexpress.com/e/_c31x1hkx,https://geni.us/vRBh,,,https://s.click.aliexpress.com/e/_c31x1hkx | https://geni.us/vRBh
Fasteners,socket-button-head-screw,Socket Button Head Screw,-,M2-M3 x 2510pcs,https://s.click.aliexpress.com/e/_c3s2tYkH,https://geni.us/Zhwry | https://geni.us/Zhwry,,,https://s.click.aliexpress.com/e/_c3s2tYkH | https://geni.us/Zhwry | https://geni.us/Zhwry
Fasteners,socket-head-cap-screw,Socket head cap Screw,-,2500pcs M2M2.5M3,https://s.click.aliexpress.com/e/_c4CtzBjJ,https://geni.us/cEH1f | https://geni.us/cEH1f,,,https://s.click.aliexpress.com/e/_c4CtzBjJ | https://geni.us/cEH1f | https://geni.us/cEH1f
Fasteners,socket-head-cap-screw-2,Socket head cap Screw,-,1410pcs M3M4M5,https://s.click.aliexpress.com/e/_c4CtzBjJ,https://geni.us/XJ9Pwm | https://geni.us/XJ9Pwm,,,https://s.click.aliexpress.com/e/_c4CtzBjJ | https://geni.us/XJ9Pwm | https://geni.us/XJ9Pwm
Fasteners,countersunk-socket-head-cap-screw,Countersunk Socket Head Cap Screw,-,"3045pcs - M2, M3, M4, M5, M6, M8",https://s.click.aliexpress.com/e/_c4dPOZ2H,https://geni.us/cZwP7Io | https://geni.us/cZwP7Io,,,https://s.click.aliexpress.com/e/_c4dPOZ2H | https://geni.us/cZwP7Io | https://geni.us/cZwP7Io
Fasteners,m3-nuts,M3 Nuts,-,,https://s.click.aliexpress.com/e/_c3q5tc0H,https://geni.us/dmXnT | https://geni.us/FQHhQ,,,https://s.click.aliexpress.com/e/_c3q5tc0H | https://geni.us/dmXnT | https://geni.us/FQHhQ
Fasteners,spacer-m3x6,Spacer M3x6,8,,https://s.click.aliexpress.com/e/_c35zcQwx,https://geni.us/V6oq4,,,https://s.click.aliexpress.com/e/_c35zcQwx | https://geni.us/V6oq4
Fasteners,spacer-m3x20,Spacer M3x20,4,,https://s.click.aliexpress.com/e/_c39f9bzv,https://geni.us/V6oq4,,,https://s.click.aliexpress.com/e/_c39f9bzv | https://geni.us/V6oq4
Filament,pc-asa-abs-petg-filament,PC / ASA / ABS / PETG Filament,-,,https://s.click.aliexpress.com/e/_c3TLvFW9,https://geni.us/enf7pY | https://geni.us/enf7pY,,,https://s.click.aliexpress.com/e/_c3TLvFW9 | https://geni.us/enf7pY | https://geni.us/enf7pY
